"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"PR","Puerto Rico","29-1051","Pharmacists",NA,"1850","28.24","58740"
"IN","Indiana","29-1127","Speech-language pathologists",NA,"1850","29.03","60380"
"IL","Illinois","51-8021","Stationary engineers and boiler operators",NA,"1850","31.04","64560"
"OK","Oklahoma","29-1123","Physical therapists",NA,"1850","32.92","68480"
"GA","Georgia","11-3061","Purchasing managers",NA,"1850","42.63","88660"
"AR","Arkansas","51-6031","Sewing machine operators",NA,"1850","8.89","18480"
"VA","Virginia","51-6021","Pressers, textile, garment, and related materials",NA,"1850","9.10","18940"
"FL","Florida","39-3011","Gaming dealers",NA,"1850","9.26","19260"
"WA","Washington","37-3011","Landscaping and groundskeeping workers",NA,"18500","13.44","27950"
"TX","Texas","31-9091","Dental assistants",NA,"18500","14.36","29880"
"MA","Massachusetts","13-1111","Management analysts",NA,"18500","45.52","94680"
"NC","North Carolina","11-3031","Financial managers",NA,"18500","48.10","100050"
"CA","California","47-2181","Roofers",NA,"18520","20.76","43170"
"AZ","Arizona","19-0000","Life, physical, and social science occupations","major","18520","26.02","54120"
"KY","Kentucky","41-0000","Sales and related occupations","major","185220","14.32","29790"
"MO","Missouri","33-9032","Security guards",NA,"18540","12.62","26260"
"WA","Washington","41-2021","Counter and rental clerks",NA,"18560","12.45","25900"
"NY","New York","13-2052","Personal financial advisors",NA,"18560","63.30","131660"
"NC","North Carolina","11-0000","Management occupations","major","185840","44.95","93500"
"PA","Pennsylvania","31-0000","Healthcare support occupations","major","185990","11.98","24920"
"IL","Illinois","29-2051","Dietetic technicians",NA,"1860","11.71","24350"
"OK","Oklahoma","47-3013","Helpers--electricians",NA,"1860","11.88","24700"
"GA","Georgia","47-4051","Highway maintenance workers",NA,"1860","11.95","24860"
"PA","Pennsylvania","47-3011","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",NA,"1860","14.04","29200"
"NJ","New Jersey","51-4081","Multiple machine tool setters, operators, and tenders, metal and plastic",NA,"1860","14.24","29610"
"NM","New Mexico","47-2051","Cement masons and concrete finishers",NA,"1860","15.21","31650"
"NJ","New Jersey","47-3013","Helpers--electricians",NA,"1860","15.24","31700"
"NV","Nevada","41-2022","Parts salespersons",NA,"1860","15.67","32590"
"MD","Maryland","47-4051","Highway maintenance workers",NA,"1860","15.68","32610"
"IN","Indiana","51-4051","Metal-refining furnace operators and tenders",NA,"1860","18.76","39010"
"OR","Oregon","53-1021","First-line supervisors/managers of helpers, laborers, and material movers, hand",NA,"1860","19.06","39640"
"NV","Nevada","51-4121","Welders, cutters, solderers, and brazers",NA,"1860","19.11","39750"
"WA","Washington","17-3031","Surveying and mapping technicians",NA,"1860","19.98","41570"
"ME","Maine","51-4041","Machinists",NA,"1860","20.09","41780"
"MS","Mississippi","29-2034","Radiologic technologists and technicians",NA,"1860","20.56","42760"
"CT","Connecticut","47-2211","Sheet metal workers",NA,"1860","21.02","43710"
"AL","Alabama","13-1071","Employment, recruitment, and placement specialists",NA,"1860","21.08","43850"
"NE","Nebraska","13-1073","Training and development specialists",NA,"1860","22.03","45820"
"RI","Rhode Island","47-2152","Plumbers, pipefitters, and steamfitters",NA,"1860","24.88","51740"
"MI","Michigan","13-2021","Appraisers and assessors of real estate",NA,"1860","25.65","53350"
"LA","Louisiana","53-5031","Ship engineers",NA,"1860","28.31","58890"
"CO","Colorado","29-1122","Occupational therapists",NA,"1860","29.35","61050"
"LA","Louisiana","11-3051","Industrial production managers",NA,"1860","36.09","75060"
"TN","Tennessee","17-2071","Electrical engineers",NA,"1860","37.16","77300"
"CO","Colorado","41-9021","Real estate brokers",NA,"1860","38.97","81070"
"MN","Minnesota","17-2061","Computer hardware engineers",NA,"1860","43.53","90540"
"MS","Mississippi","43-4071","File clerks",NA,"1860","9.33","19410"
"MI","Michigan","31-9095","Pharmacy aides",NA,"1860","9.89","20570"
"NJ","New Jersey","51-9111","Packaging and filling machine operators and tenders",NA,"18600","12.10","25170"
"NC","North Carolina","51-9111","Packaging and filling machine operators and tenders",NA,"18600","13.03","27110"
"AL","Alabama","49-9042","Maintenance and repair workers, general",NA,"18600","15.60","32460"
"PA","Pennsylvania","41-2021","Counter and rental clerks",NA,"18610","10.89","22650"
"GA","Georgia","49-1011","First-line supervisors/managers of mechanics, installers, and repairers",NA,"18620","25.38","52780"
